account_id,income
1,24168
2,60140
3,15075
4,71694
5,39154
6,36158
7,70332
8,55830
9,50001
10,39831
11,39219
12,13101
13,35313
14,62227
15,53025
16,46517
17,19099
18,46585
19,56025
20,76768
21,62386
22,53404
23,13617
24,25118
25,44237
26,33405
27,44795
28,15014
29,24208
30,66959
31,55309
32,51114
33,67199
34,77033
35,25157
36,60488
37,34914
38,43386
39,15817
40,67154
41,10221
42,78146
43,35825
44,57739
45,66531
46,19171
47,53279
48,51145
49,26334
50,49363
51,76469
52,50538
53,63528
54,52753
55,62743
56,48752
57,26683
58,35144
59,65108
60,59695
61,32810
62,49446
63,63225
64,10053
65,49829
66,47606
67,37549
68,66346
69,52237
70,70946
71,67905
72,67954
73,38010
74,77000
75,72021
76,32241
77,21114
78,47196
79,77561
80,53933
81,22240
82,40784
83,50687
84,39444
85,36100
86,29313
87,13201
88,16057
89,42092
90,72277
91,19545
92,69692
93,64321
94,35485
95,60328
96,74799
97,62383
98,41979
99,29342
100,10726
